"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_D"
"P15735",16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,28,67,31,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P15828",0,0,0,20.613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P15847",1,12,3,3,2,0,9,3,25,64,74,62,85,62,21,48,1,89,110,35,0,19,0,0,0,0,12,74,87,126,299,452,239,223,300,0
"P15848",81,0,0,0,0,0,21,60,21,74,26,60,91,199,95,106,0,253,211,76,55,14,0,0,0,0,0,119,79,128,466,816,556,348,545,0
"P15916",0,6,3,32,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0
"P15918",112,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,81,107,55,55,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16006",0,10,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16015",0,0,0,0,0,0,1,0,0,3,2,2,2,6,9,6,0,0,0,0,0,0,0,0,0,0,0,14,21,4,1,9,1,0,11,0
"P16066",0,0,0,0,0,0,0,2,2,5,3,2,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,9,31,13,9,12,7,0,13,0
"P16068",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
"P16081",170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16100",246,222,183,453,10,0,4,7,0,6,3,6,6,0,5,0,8,1164,1122,507,307,113,0,0,0,0,27,10,29,20,18,81,32,10,53,0
"P16109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16120",3,60,22,148,0,0,0,0,0,0,1,1,0,1,1,1,1,75,46,19,17,0,0,0,0,0,27,0,0,0,8,0,0,0,1,0
"P16140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16144",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16148",0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16149",0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0
"P16152",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16157",383,808,625,2188,21,1,9,7,96,536,117,422,612,112,44,67,104,4455,4197,1784,1714,513,0,0,0,0,228,970,1140,797,592,915,1082,780,1106,0
"P16171",11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,12,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16218",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16228",7,68,55,170,15,1,14,39,2,1,1,15,3,74,66,32,41,322,339,193,48,49,0,0,0,0,70,15,1,0,230,507,467,394,430,0
"P16243",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16254",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16259",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
"P16260",0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16273",88,78,38,146,0,0,26,52,54,155,113,162,191,100,113,67,1,864,761,275,290,77,0,0,0,0,41,359,380,345,313,628,596,396,661,0
"P16283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16331",0,0,0,0,0,0,3,10,20,52,22,29,79,115,74,32,0,0,0,0,0,0,0,0,0,0,0,215,289,181,104,170,212,199,348,0
"P16340",356,157,78,180,2,0,3,0,1,1,1,0,1,14,2,2,1,893,665,266,353,73,0,0,0,0,18,0,0,6,1,14,0,9,7,0
"P16389",0,5,6,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
"P16394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16423",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16474",0,0,0,0,0,0,0,0,0,2,0,0,2,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,15,4,0,0,0
"P16521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16543",22,19,23,14,0,0,0,0,11,22,22,44,39,10,7,7,0,97,91,27,26,30,0,0,0,0,0,83,120,86,28,16,31,11,40,0
"P16581",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16603",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16617",1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16638",0,192,119,712,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,222,42,0,0,0,60,0,0,0,0
"P16675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16691",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16709",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,186,83,18,54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16858",281,0,0,0,0,0,75,93,34,5,0,16,0,677,431,221,0,269,246,119,71,16,0,0,0,0,0,447,467,394,401,907,1072,568,870,0
"P16875",171,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,203,99,37,60,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16876",500,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,205,195,58,284,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"P16877",239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16905",20,15,12,22,2,0,3,2,3,15,22,18,33,73,31,29,0,232,338,112,65,33,0,0,0,0,11,13,12,8,26,68,113,89,120,0
"P16912",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P16914",0,0,0,0,0,0,40,80,6,6,1,18,11,10,3,5,0,0,0,0,0,0,0,0,0,0,0,14,16,54,213,407,547,424,464,0
"P16924",137,125,66,148,2,0,0,0,0,1,0,0,1,1,0,0,2,356,353,114,188,90,0,0,0,0,23,5,0,0,0,0,0,0,0,0
"P16925",0,0,0,0,0,0,1,4,0,1,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,5,17,17,25,13,0
"P16930",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17019",0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0
"P17044",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17094",0,0,0,0,0,0,0,1,0,0,0,6,0,3,2,2,5,0,0,0,0,0,0,0,0,0,0,8,7,1,7,50,5,0,1,0
"P17130",0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17178",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17183",1340,310,214,750,21,0,0,0,0,0,0,0,0,0,0,0,0,2859,2594,941,1408,263,0,0,0,0,48,0,0,0,0,0,0,0,0,0
"P17202",0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0
"P17210",0,25,14,97,5,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,20,34,44,36,0,0,0,0,1,0
"P17213",25,26,53,62,1,0,0,0,0,0,0,0,0,0,0,0,0,250,197,92,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17221",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"P17239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17326",10,5,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,54,37,24,9,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"P17369",294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17431",149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17439",31,8,3,1,0,0,40,92,105,453,168,370,396,143,52,30,0,141,144,53,88,16,0,0,0,0,12,569,787,473,780,1255,1369,1211,1281,0
"P17444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17608",16,102,25,85,2,0,0,0,0,1,0,1,1,28,8,3,0,226,224,77,57,12,0,0,0,0,28,0,0,0,0,0,16,0,7,0
"P17609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17610",0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"P17612",0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0
"P17618",0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
"P17620",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17624",0,14,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
"P17631",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17658",0,0,0,0,0,0,0,0,0,2,0,0,0,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0
"P17659",1,0,0,0,0,0,0,0,0,4,2,1,5,35,12,15,0,43,82,31,0,25,0,0,0,0,0,1,12,7,0,2,0,0,13,0
"P17692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17702",0,0,0,0,0,0,94,177,1,2,2,2,2,666,134,228,0,0,0,0,0,0,0,0,0,0,0,20,19,46,1499,2326,1555,2206,1067,0
"P17724",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17741",0,6,10,31,1,1,0,0,1,1,1,2,2,48,24,13,0,0,0,0,0,0,0,0,0,0,21,1,13,1,24,14,0,0,25,0
"P17778",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17844",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17859",95,22,64,154,3,0,0,0,0,0,0,4,0,0,0,0,3,608,391,213,223,23,0,0,0,0,6,0,0,0,0,0,0,0,0,0
"P17882",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17883",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17945",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P17970",48,0,0,0,0,0,5,1,7,12,11,27,18,29,14,10,0,238,316,179,41,19,0,0,0,0,0,8,11,10,15,37,54,4,40,0
"P17971",0,99,88,283,2,0,1,2,1,2,1,1,1,20,3,2,2,0,0,0,0,0,0,0,0,0,45,40,56,25,25,83,64,21,78,0
"P17972",0,0,0,0,0,0,1,0,0,2,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"P17989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18025",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18101",0,3.017,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18142",0,11,9,34,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18160",0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0
"P18172",0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18203",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,32,4,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18242",295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18266",10,5,10,13,0,0,0,0,11,41,12,45,47,14,1,4,2,82,219,84,30,22,0,0,0,0,0,49,43,123,3,1,11,7,22,0
"P18291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18294",554,68,77,92,4,0,0,1,12,30,4,17,22,17,2,2,9,968,983,370,327,110,0,0,0,0,11,28,47,57,10,22,24,18,25,0
"P18297",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18334",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18405",1,9,13,23,0,0,0,0,0,0,3,1,0,0,0,0,0,49,40,19,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18493",0,1,3,4,1,0,1,0,36,85,36,99,114,3,1,1,0,0,0,0,0,0,0,0,0,0,133,34,40,0,59,34,100,34,67,0
"P18602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18606",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,21,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18616",136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18699",187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18729",0,0,0,0,0,0,0,0,1,0,0,0,0,45,3,7,0,0,0,0,0,0,0,0,0,0,0,44,54,39,0,0,0,0,0,0
"P18754",28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18773",133,122,90,272,3,1,0,0,2,11,4,4,2,21,12,10,9,625,614,223,173,113,0,0,0,0,25,9,1,18,13,29,0,1,14,0
"P18780",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18845",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18858",0,22,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P18910",0,1,1,1,0,0,0,0,0,3,13,3,11,1,1,3,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,16,0
"P18956",6147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,1,704,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19024",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,5,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19109",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19123",0,19,11,21,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19137",232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,106,403,160,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19208",0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,8,13,17,0,0,2,0,3,0
"P19211",0,0,0,0,0,0,118,152,207,724,492,428,639,83,57,43,0,0,0,0,0,0,0,0,0,0,0,1947,2508,1870,2094,3478,2553,5366,1825,0
"P19262",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19269",0,9,7,44,0,0,0,0,0,0,0,3,0,1,1,1,5,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,1,0,1,0
"P19338",0,0,0,0,0,0,0,0,0,0,0,1,0,35,22,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19436",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19468",0,2,2,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"P19474",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19483",376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19485",250,202,141,716,7,1,4,13,43,317,12,161,176,746,177,69,41,2351,2271,1137,554,201,0,0,0,0,92,462,570,438,361,585,551,426,623,0
"P19486",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19493",17,9,3,41,2,0,0,0,0,0,0,0,0,0,0,0,0,69,72,58,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19515",151,114,66,217,1,0,1,3,0,13,1,22,17,8,0,3,3,391,371,195,140,58,0,0,0,0,21,44,69,34,14,25,19,11,23,0
"P19543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19584",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19683",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19684",0,0,0,0,0,0,0,4,1,2,0,0,1,42,8,7,0,0,0,0,0,0,0,0,0,0,0,56,61,86,0,10,0,0,0,0
"P19824",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P19848",667,280,180,298,9,0,0,0,0,0,0,0,0,0,0,0,6,1468,1231,623,951,143,0,0,0,0,24,0,0,0,0,0,0,0,0,7
"P19881",0,0,0,0,0,0,3,1,4,5,5,33,35,17,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,73,110,109,95,122,0
"P19950",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.014
"P20014",311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20054",0,0,0,0,0,0,18,0,32,105,48,162,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,52,42,212,611,379,248,510,0
"P20060",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20070",195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20095",0,0,0,0,0,0,0,1,0,7,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,16,2,3,2,2,4,0
"P20133",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20142",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20192",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,9,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20290",0,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,0,0,0,0,0,0
"P20339",0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,1,0,0
"P20348",0,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20350",0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,1,0,12,0
"P20360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20365",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P20397",0,15,14,34,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,0,1,4,0,10,0,4,0
"P20449",21,38,45,93,0,0,0,0,0,0,0,0,0,0,0,0,0,124,122,50,12,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0
