"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"45","Q54VN6","RL24_DICDI","rpl24 DDB_G0280229","60S ribosomal protein L24","cytosolic large ribosomal subunit [GO:0022625]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; assembly of large subunit precursor of preribosome [GO:1902626]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]"
"46","Q8TE73","DYH5_HUMAN","DNAH5 DNAHC5 HL1 KIAA1603","Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (Ciliary dynein heavy chain 5)","9+2 motile cilium [GO:0097729]; axoneme [GO:0005930]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; extracellular region [GO:0005576]; microtubule [GO:0005874]; motile cilium [GO:0031514]; outer dynein arm [GO:0036157]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; microtubule-based movement [GO:0007018]; outer dynein arm assembly [GO:0036158]"
"47","Q9Z244","GMPR1_RAT","Gmpr Gmpr1","GMP reductase 1 (GMPR 1) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase 1) (Guanosine monophosphate reductase 1)","GMP reductase complex [GO:1902560]; GMP reductase activity [GO:0003920]; metal ion binding [GO:0046872]; purine nucleobase metabolic process [GO:0006144]; purine nucleotide metabolic process [GO:0006163]; response to cold [GO:0009409]"
"48","Q13237","KGP2_HUMAN","PRKG2 PRKGR2","cGMP-dependent protein kinase 2 (cGK 2) (cGK2) (EC 2.7.11.12) (cGMP-dependent protein kinase II) (cGKII)","apical plasma membrane [GO:0016324]; cytosol [GO:0005829]; nuclear membrane [GO:0031965]; ATP binding [GO:0005524]; cGMP binding [GO:0030553]; cGMP-dependent protein kinase activity [GO:0004692]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; negative regulation of chloride transport [GO:2001226]; peptidyl-serine autophosphorylation [GO:0036289]; protein localization to plasma membrane [GO:0072659]; protein phosphorylation [GO:0006468]; signal transduction [GO:0007165]"
"49","P00110","CYC6_BUMFI","petJ","Cytochrome c6 (Cytochrome c-553) (Cytochrome c553) (Soluble cytochrome f)","chloroplast thylakoid lumen [GO:0009543]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; photosynthesis [GO:0015979]"
"50","P72991","FTSH3_SYNY3","ftsH3 slr1604","ATP-dependent zinc metalloprotease FtsH 3 (EC 3.4.24.-)","integral component of membrane [GO:0016021]; thylakoid membrane [GO:0042651]; ATP binding [GO:0005524]; ATP-dependent peptidase activity [GO:0004176]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270]; protein catabolic process [GO:0030163]; proteolysis [GO:0006508]"
"51","P43156","CYSP_HEMSP","SEN102","Thiol protease SEN102 (EC 3.4.22.-)","endoplasmic reticulum lumen [GO:0005788]; cysteine-type peptidase activity [GO:0008234]"
"52","Q6DEH3","KC2D1_DANRE","camk2d1 camk2db zgc:101001 zgc:173815","Calcium/calmodulin-dependent protein kinase type II delta 1 chain (EC 2.7.11.17) (Calcium/calmodulin-dependent protein kinase type II delta-B chain) (CaM kinase II subunit delta-B) (CaM-kinase II delta-B chain) (CaMK-II subunit delta-B)","cytoplasm [GO:0005737]; neuron projection [GO:0043005]; ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]"
"53","Q8ZRS8","ACNB_SALTY","acnB STM0158","Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)","cytosol [GO:0005829]; 2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; tricarboxylic acid cycle [GO:0006099]"
"54","Q8T126","FNKC_DICDI","fnkC FNIPK-C DDB_G0276349","Probable inactive serine/threonine-protein kinase fnkC","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]"
"55","O74856","CAF1_SCHPO","caf1 pop2 SPCC18.06c","Poly(A) ribonuclease pop2 (EC 3.1.13.4) (CCR4-associated factor 1)","CCR4-NOT complex [GO:0030014]; CCR4-NOT core complex [GO:0030015]; cytosol [GO:0005829]; nucleus [GO:0005634]; P-body [GO:0000932]; chromatin binding [GO:0003682]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; poly(A)-specific ribonuclease activity [GO:0004535]; exonucleolytic catabolism of deadenylated mRNA [GO:0043928]; negative regulation of translation [GO:0017148]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; transcription by RNA polymerase II [GO:0006366]"
"56","P79403","GANAB_PIG","GANAB","Neutral alpha-glucosidase AB (EC 3.2.1.207) (Alpha-glucosidase 2) (Glucosidase II subunit alpha)","glucosidase II complex [GO:0017177]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; melanosome [GO:0042470]; alpha-glucosidase activity [GO:0090599]; carbohydrate binding [GO:0030246]; glucan 1,3-alpha-glucosidase activity [GO:0033919]; carbohydrate metabolic process [GO:0005975]; N-glycan processing [GO:0006491]"
"57","B3QVL0","GPMA_CHLT3","gpmA Ctha_2159","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)","2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]"
"58","Q8QZR1","ATTY_MOUSE","Tat","Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)","mitochondrion [GO:0005739]; amino acid binding [GO:0016597]; identical protein binding [GO:0042802]; L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; pyridoxal phosphate binding [GO:0030170]; 2-oxoglutarate metabolic process [GO:0006103]; biosynthetic process [GO:0009058]; cellular amino acid metabolic process [GO:0006520]; glutamate metabolic process [GO:0006536]; L-phenylalanine catabolic process [GO:0006559]; response to glucocorticoid [GO:0051384]; response to mercury ion [GO:0046689]; response to organic cyclic compound [GO:0014070]; response to oxidative stress [GO:0006979]; tyrosine catabolic process [GO:0006572]"
"59","P27766","DYI3_CHLRE","ODA6 IC70 ODA-6","Dynein, 70 kDa intermediate chain, flagellar outer arm (IC69) (IC70)","cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; motor activity [GO:0003774]; cilium movement involved in cell motility [GO:0060294]; outer dynein arm assembly [GO:0036158]"
"60","Q96N23","CFA54_HUMAN","CFAP54 C12orf55 C12orf63","Cilia- and flagella-associated protein 54","axoneme [GO:0005930]; cell differentiation [GO:0030154]; cilium assembly [GO:0060271]; cilium movement involved in cell motility [GO:0060294]; spermatogenesis [GO:0007283]"
"61","P10770","FER_PERBI","","Ferredoxin","chloroplast [GO:0009507]; 2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]"
"62","B3VQ24","GERT_BACCE","gerT","Probable Na(+)/H(+) antiporter GerT","integral component of membrane [GO:0016021]; solute:proton antiporter activity [GO:0015299]; sodium ion transport [GO:0006814]"
"63","Q9AV39","GLO1A_ORYSJ","GL1-10 LOC_Os10g39810 Os10g0545200 OSJNBa0001O14.3 OSNPB_100545200","Very-long-chain aldehyde decarbonylase GL1-10 (EC 4.1.99.5) (Protein GLOSSY 1-10)","endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; aldehyde oxygenase (deformylating) activity [GO:1990465]; C-4 methylsterol oxidase activity [GO:0000254]; iron ion binding [GO:0005506]; octadecanal decarbonylase activity [GO:0009924]; oxidoreductase activity [GO:0016491]; sterol biosynthetic process [GO:0016126]"
"64","Q96M86","DNHD1_HUMAN","DNHD1 C11orf47 CCDC35 DHCD1 DNHD1L UNQ5781/PRO12970","Dynein heavy chain domain-containing protein 1 (Dynein heavy chain domain 1-like protein) (Protein CCDC35)","axonemal dynein complex [GO:0005858]; dynein complex [GO:0030286]; extracellular exosome [GO:0070062]; inner dynein arm [GO:0036156]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; cilium movement [GO:0003341]; microtubule-based movement [GO:0007018]"
"65","Q1ACM8","ATPA_CHAVU","atpA","ATP synthase subunit alpha, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)","chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]"
"66","Q5N870","DCL3A_ORYSJ","DCL3A Os01g0909200 LOC_Os01g68120 P0456E05.21","Endoribonuclease Dicer homolog 3a (Dicer-like protein 3a) (OsDCL3a) (EC 3.1.26.-)","cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; metal ion binding [GO:0046872]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; production of siRNA involved in RNA interference [GO:0030422]"
"67","A2WY46","EAR1_ORYSI","PLA2 LHD2 OsI_004739","Protein terminal ear1 homolog (Protein LEAFY HEAD2) (Protein PLASTOCHRON2)","RNA binding [GO:0003723]; multicellular organism development [GO:0007275]"
"68","Q9NZ45","CISD1_HUMAN","CISD1 C10orf70 ZCD1 MDS029","CDGSH iron-sulfur domain-containing protein 1 (MitoNEET)","cytoplasmic side of mitochondrial outer membrane [GO:0032473]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; 2 iron, 2 sulfur cluster binding [GO:0051537]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; regulation of cellular respiration [GO:0043457]"
"69","A0A0P6JG37","ASAH1_HETGA","ASAH1","Acid ceramidase (AC) (ACDase) (Acid CDase) (EC 3.5.1.23) [Cleaved into: Acid ceramidase subunit alpha; Acid ceramidase subunit beta]","extracellular space [GO:0005615]; lysosome [GO:0005764]; nucleus [GO:0005634]; ceramidase activity [GO:0102121]; N-acylsphingosine amidohydrolase activity [GO:0017040]; cellular response to tumor necrosis factor [GO:0071356]; ceramide biosynthetic process [GO:0046513]; ceramide catabolic process [GO:0046514]; keratinocyte differentiation [GO:0030216]; regulation of programmed necrotic cell death [GO:0062098]; regulation of steroid biosynthetic process [GO:0050810]; sphingosine biosynthetic process [GO:0046512]"
"70","Q8VCH0","THIKB_MOUSE","Acaa1b Acaa1","3-ketoacyl-CoA thiolase B, peroxisomal (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.9) (Acetyl-CoA acyltransferase B) (Beta-ketothiolase B) (Peroxisomal 3-oxoacyl-CoA thiolase B)","mitochondrion [GO:0005739]; peroxisome [GO:0005777]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; acetyl-CoA C-acyltransferase activity [GO:0003988]; acetyl-CoA C-myristoyltransferase activity [GO:0050633]; fatty acid beta-oxidation [GO:0006635]; phenylacetate catabolic process [GO:0010124]"
"71","Q8ILC1","STI1L_PLAF7","PF14_0324","STI1-like protein","cytosol [GO:0005829]; Hsp90 protein binding [GO:0051879]"
"72","Q4H2R2","SSRP1_CIOIN","SSRP1 ciad093d18","FACT complex subunit SSRP1 (Facilitates chromatin transcription complex subunit SSRP1) (Structure-specific recognition protein 1)","FACT complex [GO:0035101]; nuclear chromatin [GO:0000790]; nucleolus [GO:0005730]; DNA binding [GO:0003677]; histone binding [GO:0042393]; nucleosome binding [GO:0031491]; DNA repair [GO:0006281]; DNA replication [GO:0006260]"
"73","P35129","UBC2_CAEEL","let-70 ubc-2 M7.1","Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Lethal protein 70) (Ubiquitin carrier protein 2) (Ubiquitin-protein ligase 2)","chromosome [GO:0005694]; nucleus [GO:0005634]; ubiquitin ligase complex [GO:0000151]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842]; protein polyubiquitination [GO:0000209]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"74","O34812","YFMJ_BACSU","yfmJ BSU07450","Putative NADP-dependent oxidoreductase YfmJ (EC 1.-.-.-)","oxidoreductase activity [GO:0016491]; aromatic compound catabolic process [GO:0019439]; response to toxic substance [GO:0009636]"
"75","Q86TL2","STIMA_HUMAN","STIMATE TMEM110","Store-operated calcium entry regulator STIMATE (STIM-activating enhancer encoded by TMEM110) (Transmembrane protein 110)","cortical endoplasmic reticulum [GO:0032541]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; calcium channel regulator activity [GO:0005246]; activation of store-operated calcium channel activity [GO:0032237]; calcium-mediated signaling using intracellular calcium source [GO:0035584]; positive regulation of calcineurin-NFAT signaling cascade [GO:0070886]"
"76","P22045","PGFS_LEIMA","P100/11E","9,11-endoperoxide prostaglandin H2 reductase (EC 1.1.1.-) (Prostaglandin F2-alpha synthase)","cytoplasm [GO:0005737]; nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]; prostaglandin biosynthetic process [GO:0001516]"
"77","Q52KZ7","SBP1A_XENLA","selenbp1-a","Methanethiol oxidase (MTO) (EC 1.8.3.4) (Selenium-binding protein 1-A)","cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; methanethiol oxidase activity [GO:0018549]; selenium binding [GO:0008430]; protein transport [GO:0015031]"
"78","P49471","PSBB_TRICV","psbB","Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47)","chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; photosystem II [GO:0009523]; chlorophyll binding [GO:0016168]; electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity [GO:0045156]; photosynthetic electron transport in photosystem II [GO:0009772]; protein-chromophore linkage [GO:0018298]"
"79","A1Z9G2","SYF1_DROME","fand fas CG6197","Pre-mRNA-splicing factor syf1 homolog (Pre-mRNA-splicing factor fandango) (Protein faint sausage)","catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; U2-type catalytic step 2 spliceosome [GO:0071007]; cardioblast cell fate determination [GO:0007510]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; Malpighian tubule morphogenesis [GO:0007443]; morphogenesis of an epithelium [GO:0002009]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]"
"80","Q7ZVX6","UBA3_DANRE","uba3 ube1c zgc:55528","NEDD8-activating enzyme E1 catalytic subunit (EC 6.2.1.64) (NEDD8-activating enzyme E1C) (Ubiquitin-activating enzyme E1C) (Ubiquitin-like modifier-activating enzyme 3) (Ubiquitin-activating enzyme 3)","cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; NEDD8 activating enzyme activity [GO:0019781]; protein modification by small protein conjugation [GO:0032446]; protein neddylation [GO:0045116]"
"81","O65493","XCP1_ARATH","XCP1 At4g35350 F23E12.90","Cysteine protease XCP1 (EC 3.4.22.-) (Xylem cysteine peptidase 1) (AtXCP1)","extracellular space [GO:0005615]; lysosome [GO:0005764]; nucleus [GO:0005634]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; cysteine-type endopeptidase activity [GO:0004197]; programmed cell death involved in cell development [GO:0010623]; proteolysis involved in cellular protein catabolic process [GO:0051603]"
"82","O65001","TE1_MAIZE","TE1","Protein terminal ear1","nuclear speck [GO:0016607]; nucleus [GO:0005634]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; mRNA cis splicing, via spliceosome [GO:0045292]; multicellular organism development [GO:0007275]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]"
"83","Q8H1Z0","CER3_ARATH","CER3 FLP1 WAX2 YRE At5g57800 MTI20.3","Very-long-chain aldehyde decarbonylase CER3 (EC 4.1.99.5) (Protein ECERIFERUM 3) (Protein FACELESS POLLEN 1) (Protein WAX2) (Protein YORE-YORE)","endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plasma membrane [GO:0005886]; aldehyde oxygenase (deformylating) activity [GO:1990465]; C-4 methylsterol oxidase activity [GO:0000254]; iron ion binding [GO:0005506]; octadecanal decarbonylase activity [GO:0009924]; oxidoreductase activity [GO:0016491]; alkane biosynthetic process [GO:0043447]; cuticle development [GO:0042335]; cuticle hydrocarbon biosynthetic process [GO:0006723]; pollen sperm cell differentiation [GO:0048235]; sterol biosynthetic process [GO:0016126]; wax biosynthetic process [GO:0010025]"
"84","Q9C641","EFGM1_ARATH","MEFG1 At1g45332 F2G19.2","Elongation factor G-1, mitochondrial (EF-Gmt) (mEF-G 1-1) (Elongation factor G1-1)","mitochondrion [GO:0005739]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; mitochondrial translational elongation [GO:0070125]"
"85","Q5ZM55","FEM1B_CHICK","FEM1B RCJMB04_3b14","Protein fem-1 homolog B (FEM1b) (FEM1-beta)","cytoplasm [GO:0005737]; nucleus [GO:0005634]; apoptotic process [GO:0006915]; protein ubiquitination [GO:0016567]; regulation of DNA damage checkpoint [GO:2000001]"
"86","Q9P225","DYH2_HUMAN","DNAH2 DNAHC2 DNHD3 KIAA1503","Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2) (Dynein heavy chain domain-containing protein 3)","axonemal dynein complex [GO:0005858]; axoneme [GO:0005930]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; sperm flagellum [GO:0036126]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; cilium-dependent cell motility [GO:0060285]; microtubule-based movement [GO:0007018]"
"87","Q9DCM0","ETHE1_MOUSE","Ethe1 Hsco","Persulfide dioxygenase ETHE1, mitochondrial (EC 1.13.11.18) (Ethylmalonic encephalopathy protein 1 homolog) (Hepatoma subtracted clone one protein) (Sulfur dioxygenase ETHE1)","cytoplasm [GO:0005737]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; hydrolase activity, acting on ester bonds [GO:0016788]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; sulfur dioxygenase activity [GO:0050313]; glutathione metabolic process [GO:0006749]; hydrogen sulfide metabolic process [GO:0070813]"
"88","Q3SYS4","DAAF1_BOVIN","DNAAF1 LRRC50","Dynein assembly factor 1, axonemal (Leucine-rich repeat-containing protein 50)","axoneme [GO:0005930]; dynein complex binding [GO:0070840]; cilium assembly [GO:0060271]; motile cilium assembly [GO:0044458]"
"89","P49118","BIP_SOLLC","","Luminal-binding protein (BiP) (78 kDa glucose-regulated protein homolog) (GRP-78)","cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; membrane [GO:0016020]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433]"
"90","P02598","CALM_TETPY","","Calmodulin (CaM)","calcium ion binding [GO:0005509]; calcium-mediated signaling [GO:0019722]"
"91","P14540","ALF_YEAST","FBA1 YKL060C YKL320","Fructose-bisphosphate aldolase (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)","cell wall [GO:0005618]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; fructose-bisphosphate aldolase activity [GO:0004332]; melatonin binding [GO:1904408]; zinc ion binding [GO:0008270]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]"
"92","P43510","CPR6_CAEEL","cpr-6 C25B8.3","Cathepsin B-like cysteine proteinase 6 (EC 3.4.22.-) (Cysteine protease-related 6)","extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis involved in cellular protein catabolic process [GO:0051603]"
"93","A3AF13","UBP26_ORYSJ","UBP26 Os03g0192800 LOC_Os03g09260 OsJ_009385","Ubiquitin carboxyl-terminal hydrolase 26 (EC 3.4.19.12) (Deubiquitinating enzyme 26) (Ubiquitin thioesterase 26) (Ubiquitin-specific-processing protease 26)","cytosol [GO:0005829]; nucleus [GO:0005634]; cysteine-type endopeptidase activity [GO:0004197]; thiol-dependent ubiquitin-specific protease activity [GO:0004843]; protein deubiquitination [GO:0016579]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"94","P49096","CYB5_MUSDO","Cyt-b5","Cytochrome b5 (CYTB5)","endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidation-reduction process [GO:0055114]"
"95","Q9QZU7","BODG_RAT","Bbox1 Bbh","Gamma-butyrobetaine dioxygenase (EC 1.14.11.1) (Gamma-butyrobetaine hydroxylase) (Gamma-BBH) (Gamma-butyrobetaine,2-oxoglutarate dioxygenase)","mitochondrion [GO:0005739]; gamma-butyrobetaine dioxygenase activity [GO:0008336]; identical protein binding [GO:0042802]; iron ion binding [GO:0005506]; zinc ion binding [GO:0008270]; carnitine biosynthetic process [GO:0045329]"
"96","P46794","CBS_DICDI","cysB DDB_G0267386","Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)","cytoplasm [GO:0005737]; cystathionine beta-synthase activity [GO:0004122]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process from serine [GO:0006535]; cysteine biosynthetic process via cystathionine [GO:0019343]; cysteine metabolic process [GO:0006534]; homocysteine metabolic process [GO:0050667]; hydrogen sulfide biosynthetic process [GO:0070814]; transsulfuration [GO:0019346]"
"97","A2ZVI7","CDPK1_ORYSJ","CPK1 Os01g0622600 LOC_Os01g43410 OsJ_02652 P0501G01.10","Calcium-dependent protein kinase 1 (OsCDPK1) (OsCPK1) (EC 2.7.11.1)","cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]"
"98","Q553V1","CISYM_DICDI","cs DDB_G0275311","Citrate synthase, mitochondrial (EC 2.3.3.16)","mitochondrial matrix [GO:0005759]; phagocytic vesicle [GO:0045335]; citrate (Si)-synthase activity [GO:0004108]; carbohydrate metabolic process [GO:0005975]; citrate metabolic process [GO:0006101]; tricarboxylic acid cycle [GO:0006099]"
"99","P14832","CYPH_YEAST","CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C","Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)","cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; Set3 complex [GO:0034967]; cyclosporin A binding [GO:0016018]; mRNA binding [GO:0003729]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; ascospore formation [GO:0030437]; cellular protein metabolic process [GO:0044267]; histone deacetylation [GO:0016575]; positive regulation of meiotic nuclear division [GO:0045836]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; protein transport [GO:0015031]"
"100","Q9LK09","SYP32_ARATH","SYP32 At3g24350 K7M2.13","Syntaxin-32 (AtSYP32)","endomembrane system [GO:0012505]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; SNARE complex [GO:0031201]; SNAP receptor activity [GO:0005484]; SNARE binding [GO:0000149]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886]; vesicle docking [GO:0048278]; vesicle fusion [GO:0006906]"
