"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"64","Q54DK1","SQOR_DICDI","sqor sqrdl DDB_G0292250","Sulfide:quinone oxidoreductase, mitochondrial (EC 1.8.5.8)","mitochondrion [GO:0005739]; FAD binding [GO:0071949]; quinone binding [GO:0048038]; sulfide:quinone oxidoreductase activity [GO:0070224]; regulation of sulfur metabolic process [GO:0042762]; sulfide oxidation, using sulfide:quinone oxidoreductase [GO:0070221]"
"65","Q9SBN3","UCRIA_VOLCA","petC","Cytochrome b6-f complex iron-sulfur subunit, chloroplastic (EC 7.1.1.6) (Plastohydroquinone:plastocyanin oxidoreductase iron-sulfur protein) (Rieske iron-sulfur protein) (ISP) (RISP)","chloroplast thylakoid membrane [GO:0009535]; integral component of membrane [GO:0016021]; 2 iron, 2 sulfur cluster binding [GO:0051537]; metal ion binding [GO:0046872]; oxidation-reduction process [GO:0055114]"
"66","Q9SMI2","RS21_CYAPA","RPS21","40S ribosomal protein S21","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"67","Q7RBT0","RSSA_PLAYO","PY06059","40S ribosomal protein SA","cytosolic small ribosomal subunit [GO:0022627]; structural constituent of ribosome [GO:0003735]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]"
"68","P09204","TBA1_CHLRE","TUBA1","Tubulin alpha-1 chain","cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]"
"69","Q04462","SYVC_RAT","Vars1 Vars Vars2","Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)","cytosol [GO:0005829]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; valine-tRNA ligase activity [GO:0004832]; tRNA aminoacylation for protein translation [GO:0006418]; valyl-tRNA aminoacylation [GO:0006438]"
"70","Q9LT78","RD21C_ARATH","RD21C At3g19390 MLD14.12","Probable cysteine protease RD21C (EC 3.4.22.-)","extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis involved in cellular protein catabolic process [GO:0051603]"
"71","Q8MZS4","PHYSA_PHYPO","","Physarolisin (EC 3.4.21.103) (Physaropepsin) [Cleaved into: Physarolisin heavy chain; Physarolisin light chain]","metal ion binding [GO:0046872]; serine-type endopeptidase activity [GO:0004252]"
"72","Q9SKC1","U74C1_ARATH","UGT74C1 At2g31790 F20M17.17","UDP-glycosyltransferase 74C1 (EC 2.4.1.-)","peroxisome [GO:0005777]; quercetin 3-O-glucosyltransferase activity [GO:0080043]; quercetin 7-O-glucosyltransferase activity [GO:0080044]"
"73","Q9FY94","SWT15_ARATH","SWEET15 SAG29 At5g13170 T19L5.130","Bidirectional sugar transporter SWEET15 (AtSWEET15) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 15) (Senescence-associated protein 29)","Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; sucrose transmembrane transporter activity [GO:0008515]; sugar transmembrane transporter activity [GO:0051119]; carbohydrate transport [GO:0008643]; cellular response to abscisic acid stimulus [GO:0071215]; cellular response to osmotic stress [GO:0071470]; cellular response to salicylic acid stimulus [GO:0071446]; embryo development ending in seed dormancy [GO:0009793]; leaf senescence [GO:0010150]; seed maturation [GO:0010431]; sucrose transport [GO:0015770]"
"74","P9WQE6","PPSA_MYCTO","ppsA MT3000","Phenolphthiocerol/phthiocerol polyketide synthase subunit A (EC 2.3.1.292) ((Phenol)carboxyphthiodiolenone synthase subunit A) (Beta-ketoacyl-acyl-carrier-protein synthase I) (Phthiocerol synthesis polyketide synthase type I PpsA)","polyketide synthase complex [GO:0034081]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; Actinobacterium-type cell wall biogenesis [GO:0071766]; fatty acid biosynthetic process [GO:0006633]; phenolic phthiocerol biosynthetic process [GO:0097041]; phthiocerol biosynthetic process [GO:0097040]"
"75","O17071","PRS10_CAEEL","rpt-4 F23F1.8","Probable 26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit rpt-4) (Proteasome regulatory particle ATPase-like protein 4)","cytosolic proteasome complex [GO:0031597]; nucleus [GO:0005634]; proteasome regulatory particle, base subcomplex [GO:0008540]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; identical protein binding [GO:0042802]; positive regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045899]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein stability [GO:0031647]; ubiquitin-dependent ERAD pathway [GO:0030433]"
"76","A1Z9G2","SYF1_DROME","fand fas CG6197","Pre-mRNA-splicing factor syf1 homolog (Pre-mRNA-splicing factor fandango) (Protein faint sausage)","catalytic step 2 spliceosome [GO:0071013]; nucleus [GO:0005634]; post-mRNA release spliceosomal complex [GO:0071014]; precatalytic spliceosome [GO:0071011]; Prp19 complex [GO:0000974]; U2-type catalytic step 2 spliceosome [GO:0071007]; cardioblast cell fate determination [GO:0007510]; generation of catalytic spliceosome for first transesterification step [GO:0000349]; Malpighian tubule morphogenesis [GO:0007443]; morphogenesis of an epithelium [GO:0002009]; mRNA splicing, via spliceosome [GO:0000398]; regulation of alternative mRNA splicing, via spliceosome [GO:0000381]; RNA splicing [GO:0008380]"
"77","Q5NTH0","UGAT_BELPE","UGAT UGT94B1","Cyanidin-3-O-glucoside 2-O-glucuronosyltransferase (BpUGAT) (EC 2.4.1.254) (UDP-glucuronic acid:anthocyanin glucuronosyltransferase)","cytoplasm [GO:0005737]; cyanidin-3-O-glucoside 2-O-glucuronosyltransferase activity [GO:0102160]; UDP-glycosyltransferase activity [GO:0008194]"
"78","Q5F3T9","UGDH_CHICK","UGDH RCJMB04_7d7","UDP-glucose 6-dehydrogenase (UDP-Glc dehydrogenase) (UDP-GlcDH) (UDPGDH) (EC 1.1.1.22)","cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; carbohydrate metabolic process [GO:0005975]; chondroitin sulfate biosynthetic process [GO:0030206]; gastrulation with mouth forming second [GO:0001702]; glycosaminoglycan biosynthetic process [GO:0006024]; heparan sulfate proteoglycan biosynthetic process [GO:0015012]; protein hexamerization [GO:0034214]; UDP-glucuronate biosynthetic process [GO:0006065]"
"79","P11139","TBA1_ARATH","TUBA1 TUA1 At1g64740 F13O11.5","Tubulin alpha-1 chain","cytoplasm [GO:0005737]; cytosol [GO:0005829]; microtubule [GO:0005874]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; microtubule-based process [GO:0007017]; mitotic cell cycle [GO:0000278]"
"80","O65493","XCP1_ARATH","XCP1 At4g35350 F23E12.90","Cysteine protease XCP1 (EC 3.4.22.-) (Xylem cysteine peptidase 1) (AtXCP1)","extracellular space [GO:0005615]; lysosome [GO:0005764]; nucleus [GO:0005634]; plant-type vacuole [GO:0000325]; plasma membrane [GO:0005886]; cysteine-type endopeptidase activity [GO:0004197]; programmed cell death involved in cell development [GO:0010623]; proteolysis involved in cellular protein catabolic process [GO:0051603]"
"81","Q90YS0","RS4_ICTPU","rps4","40S ribosomal protein S4","ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"82","P23398","UBIQP_STRPU","","Polyubiquitin [Cleaved into: Ubiquitin] (Fragment)","cytoplasm [GO:0005737]; nucleus [GO:0005634]"
"83","P14642","TBA_PLAFK","","Tubulin alpha chain","cytoplasm [GO:0005737]; microtubule [GO:0005874]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; structural constituent of cytoskeleton [GO:0005200]; microtubule-based process [GO:0007017]"
"84","Q9ZU75","UB12L_ARATH","RCE2 At2g18600 F24H14.5","Probable NEDD8-conjugating enzyme Ubc12-like (EC 2.3.2.-) (RUB1 carrier protein 2) (RUB1-conjugating enzyme 2)","nucleus [GO:0005634]; ATP binding [GO:0005524]; NEDD8 transferase activity [GO:0019788]; ubiquitin conjugating enzyme activity [GO:0061631]; protein neddylation [GO:0045116]; protein polyubiquitination [GO:0000209]"
"85","Q75K27","RS24_DICDI","rps24 DDB_G0275473","40S ribosomal protein S24","ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]"
"86","P34313","BUD31_CAEEL","bud-31 C07A9.2","Protein BUD31 homolog (Protein G10 homolog)","spliceosomal complex [GO:0005681]; mRNA splicing, via spliceosome [GO:0000398]"
"87","D9HP19","CNR3_MAIZE","CNR3","Cell number regulator 3 (ZmCNR03)","integral component of membrane [GO:0016021]"
"88","Q3E9C0","CDPKY_ARATH","CPK34 At5g19360 F7K24.110","Calcium-dependent protein kinase 34 (EC 2.7.11.1)","cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; protein kinase activity [GO:0004672]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]; regulation of pollen tube growth [GO:0080092]"
"89","Q9ZV15","CDPKK_ARATH","CPK20 At2g38910 T7F6.8","Calcium-dependent protein kinase 20 (EC 2.7.11.1)","cytoplasm [GO:0005737]; membrane [GO:0016020]; nucleus [GO:0005634]; ATP binding [GO:0005524]; calcium ion binding [GO:0005509]; calcium-dependent protein serine/threonine kinase activity [GO:0009931]; calmodulin binding [GO:0005516]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; protein autophosphorylation [GO:0046777]"
"90","Q8VHE6","DYH5_MOUSE","Dnah5 Dnahc5","Dynein heavy chain 5, axonemal (Axonemal beta dynein heavy chain 5) (mDNAH5) (Ciliary dynein heavy chain 5)","9+2 motile cilium [GO:0097729]; axonemal dynein complex [GO:0005858]; axoneme [GO:0005930]; cytoplasm [GO:0005737]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; outer dynein arm [GO:0036157]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; cilium assembly [GO:0060271]; cilium movement [GO:0003341]; determination of left/right symmetry [GO:0007368]; flagellated sperm motility [GO:0030317]; heart development [GO:0007507]; lateral ventricle development [GO:0021670]; microtubule-based movement [GO:0007018]; outer dynein arm assembly [GO:0036158]"
"91","Q02766","COX1_PLAFA","MT-CO1 COI COXI MTCO1","Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; oxidative phosphorylation [GO:0006119]"
"92","Q8NDM7","CFA43_HUMAN","CFAP43 C10orf79 WDR96","Cilia- and flagella-associated protein 43 (WD repeat-containing protein 96)","9+2 motile cilium [GO:0097729]; axoneme [GO:0005930]; cerebrospinal fluid circulation [GO:0090660]; cilium assembly [GO:0060271]; mucociliary clearance [GO:0120197]; sperm axoneme assembly [GO:0007288]"
"93","Q5UP50","YR588_MIMIV","MIMI_R588","Uncharacterized protein R588",""
"94","P50532","SMC4_XENLA","smc4 capc smc4l1","Structural maintenance of chromosomes protein 4 (SMC protein 4) (SMC-4) (Chromosome assembly protein XCAP-C) (Chromosome-associated protein C)","chromosome [GO:0005694]; cytosol [GO:0005829]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cell division [GO:0051301]; mitotic chromosome condensation [GO:0007076]"
"95","A5GFW1","AURKA_PIG","AURKA AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6","Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)","centriole [GO:0005814]; centrosome [GO:0005813]; chromosome passenger complex [GO:0032133]; cilium [GO:0005929]; condensed nuclear chromosome, centromeric region [GO:0000780]; cytoplasm [GO:0005737]; mitotic spindle pole [GO:0097431]; neuron projection [GO:0043005]; spindle microtubule [GO:0005876]; spindle midzone [GO:0051233]; spindle pole centrosome [GO:0031616]; ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; protein kinase activity [GO:0004672]; cell division [GO:0051301]; cell projection organization [GO:0030030]; meiotic spindle organization [GO:0000212]; mitotic centrosome separation [GO:0007100]; mitotic spindle organization [GO:0007052]; positive regulation of meiotic cell cycle process involved in oocyte maturation [GO:1904146]; positive regulation of translation [GO:0045727]; regulation of cytokinesis [GO:0032465]"
"96","Q0JI49","CIPKB_ORYSJ","CIPK11 Os01g0824600 LOC_Os01g60910 P0031D02.33-1","CBL-interacting protein kinase 11 (EC 2.7.11.1) (OsCIPK11)","ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]; signal transduction [GO:0007165]"
"97","A8J1V4","CFA44_CHLRE","CFAP44 FAP44 CHLREDRAFT_149708","Cilia- and flagella-associated protein 44","axoneme [GO:0005930]; motile cilium [GO:0031514]; nuclear speck [GO:0016607]; cilium-dependent cell motility [GO:0060285]"
"98","R4HZ96","D27_MEDTR","D27 MTR_1g471050","Beta-carotene isomerase D27, chloroplastic (EC 5.2.1.14) (Protein DWARF-27)","chloroplast [GO:0009507]; isomerase activity [GO:0016853]; metal ion binding [GO:0046872]"
"99","Q8BIQ5","CSTF2_MOUSE","Cstf2","Cleavage stimulation factor subunit 2 (CF-1 64 kDa subunit) (Cleavage stimulation factor 64 kDa subunit) (CSTF 64 kDa subunit) (CstF-64)","cleavage body [GO:0071920]; mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; nuclear body [GO:0016604]; nucleoplasm [GO:0005654]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; cellular response to nerve growth factor stimulus [GO:1990090]; mRNA polyadenylation [GO:0006378]; pre-mRNA cleavage required for polyadenylation [GO:0098789]"
