"","Entry","Entry.name","Gene.names","Protein.names","Gene.ontology..GO."
"59","P36404","ARL2_HUMAN","ARL2","ADP-ribosylation factor-like protein 2","centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; focal adhesion [GO:0005925]; Golgi apparatus [GO:0005794]; lateral plasma membrane [GO:0016328]; microtubule cytoskeleton [GO:0015630]; mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; GTPase inhibitor activity [GO:0005095]; bicellular tight junction assembly [GO:0070830]; centrosome cycle [GO:0007098]; maintenance of protein location in nucleus [GO:0051457]; negative regulation of GTPase activity [GO:0034260]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of microtubule polymerization [GO:0031116]; regulation of insulin secretion [GO:0050796]; regulation of microtubule polymerization [GO:0031113]; tubulin complex assembly [GO:0007021]"
"60","Q8T126","FNKC_DICDI","fnkC FNIPK-C DDB_G0276349","Probable inactive serine/threonine-protein kinase fnkC","ATP binding [GO:0005524]; protein kinase activity [GO:0004672]"
"61","O04425","FCA_ARATH","FCA At4g16280 dl4180c dl4181c dl4182c FCAALL.331","Flowering time control protein FCA","cytoplasm [GO:0005737]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; cell differentiation [GO:0030154]; flower development [GO:0009908]"
"62","P38661","PDIA6_MEDSA","","Probable protein disulfide-isomerase A6 (EC 5.3.4.1) (P5)","endoplasmic reticulum lumen [GO:0005788]; protein disulfide isomerase activity [GO:0003756]; cell redox homeostasis [GO:0045454]"
"63","Q8KRU5","PLD_STRCW","pld","Phospholipase D (PLD) (EC 3.1.4.4) [Cleaved into: Phospholipase D catalytic chain; Phospholipase D regulatory chain]","extracellular region [GO:0005576]; acid phosphatase activity [GO:0003993]; metal ion binding [GO:0046872]; N-acylphosphatidylethanolamine-specific phospholipase D activity [GO:0070290]; phospholipase D activity [GO:0004630]; lipid catabolic process [GO:0016042]"
"64","A0BLX0","PP2C2_PARTE","GSPATT00030171001","Probable protein phosphatase 2C 2 (PP2C 2) (EC 3.1.3.16)","membrane [GO:0016020]; magnesium-dependent protein serine/threonine phosphatase activity [GO:0004724]; metal ion binding [GO:0046872]; protein serine/threonine phosphatase activity [GO:0004722]"
"65","P35187","SGS1_YEAST","SGS1 TPS1 YMR190C YM9646.02C","ATP-dependent helicase SGS1 (EC 3.6.4.12) (Helicase TPS1)","chromosome [GO:0005694]; cytoplasm [GO:0005737]; nucleolus [GO:0005730]; nucleus [GO:0005634]; RecQ family helicase-topoisomerase III complex [GO:0031422]; 3'-5' DNA helicase activity [GO:0043138]; ATP binding [GO:0005524]; DNA helicase activity [GO:0003678]; four-way junction helicase activity [GO:0009378]; nucleic acid binding [GO:0003676]; chromosome organization [GO:0051276]; DNA double-strand break processing [GO:0000729]; DNA duplex unwinding [GO:0032508]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA topological change [GO:0006265]; DNA unwinding involved in DNA replication [GO:0006268]; double-strand break repair via homologous recombination [GO:0000724]; gene conversion at mating-type locus, DNA double-strand break processing [GO:0031292]; intra-S DNA damage checkpoint [GO:0031573]; meiotic chromosome segregation [GO:0045132]; meiotic DNA double-strand break processing [GO:0000706]; mitotic G2/M transition checkpoint [GO:0044818]; mitotic sister chromatid segregation [GO:0000070]; negative regulation of meiotic joint molecule formation [GO:0010947]; regulation of reciprocal meiotic recombination [GO:0010520]; replicative cell aging [GO:0001302]; telomere maintenance [GO:0000723]; telomere maintenance via recombination [GO:0000722]; telomeric 3' overhang formation [GO:0031860]"
"66","Q8QZR1","ATTY_MOUSE","Tat","Tyrosine aminotransferase (TAT) (EC 2.6.1.5) (L-tyrosine:2-oxoglutarate aminotransferase)","mitochondrion [GO:0005739]; amino acid binding [GO:0016597]; identical protein binding [GO:0042802]; L-tyrosine:2-oxoglutarate aminotransferase activity [GO:0004838]; pyridoxal phosphate binding [GO:0030170]; 2-oxoglutarate metabolic process [GO:0006103]; biosynthetic process [GO:0009058]; cellular amino acid metabolic process [GO:0006520]; glutamate metabolic process [GO:0006536]; L-phenylalanine catabolic process [GO:0006559]; response to glucocorticoid [GO:0051384]; response to mercury ion [GO:0046689]; response to organic cyclic compound [GO:0014070]; response to oxidative stress [GO:0006979]; tyrosine catabolic process [GO:0006572]"
"67","Q03442","CRJ1A_TRICY","","Crystallin J1A","structural constituent of eye lens [GO:0005212]"
"68","P87131","CYSKL_SCHPO","cys12 cys1b SPAC3A12.17c","Cysteine synthase 2 (CS 2) (EC 2.5.1.47) (Cysteine synthase-like protein) (CSl) (O-acetylserine (thiol)-lyase 2) (OAS-TL 2) (O-acetylserine sulfhydrylase 2)","cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; cysteine synthase activity [GO:0004124]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process from serine [GO:0006535]"
"69","O08437","FKBA_AERHY","fkpA","FKBP-type peptidyl-prolyl cis-trans isomerase FkpA (PPIase) (EC 5.2.1.8) (Rotamase)","periplasmic space [GO:0042597]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; protein folding [GO:0006457]"
"70","Q15392","DHC24_HUMAN","DHCR24 KIAA0018","Delta(24)-sterol reductase (EC 1.3.1.72) (24-dehydrocholesterol reductase) (3-beta-hydroxysterol Delta-24-reductase) (Diminuto/dwarf1 homolog) (Seladin-1)","cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; nucleus [GO:0005634]; delta24(24-1) sterol reductase activity [GO:0000246]; delta24-sterol reductase activity [GO:0050614]; enzyme binding [GO:0019899]; FAD binding [GO:0071949]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]; peptide antigen binding [GO:0042605]; amyloid precursor protein catabolic process [GO:0042987]; apoptotic process [GO:0006915]; cell cycle arrest [GO:0007050]; cholesterol biosynthetic process [GO:0006695]; cholesterol biosynthetic process via desmosterol [GO:0033489]; cholesterol biosynthetic process via lathosterol [GO:0033490]; male genitalia development [GO:0030539]; membrane organization [GO:0061024]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; oxidation-reduction process [GO:0055114]; plasminogen activation [GO:0031639]; protein localization [GO:0008104]; Ras protein signal transduction [GO:0007265]; regulation of neuron death [GO:1901214]; response to hormone [GO:0009725]; response to oxidative stress [GO:0006979]; skin development [GO:0043588]; steroid metabolic process [GO:0008202]; tissue development [GO:0009888]"
"71","Q26678","FCA3_TRYBB","","Flagellar calcium-binding protein TB-44A (44 kDa calcimedin) (44 kDa calflagin)","motile cilium [GO:0031514]; calcium ion binding [GO:0005509]"
"72","Q5E9H5","BCS1_BOVIN","BCS1L","Mitochondrial chaperone BCS1 (BCS1-like protein)","integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; ATP binding [GO:0005524]; mitochondrial cytochrome c oxidase assembly [GO:0033617]; mitochondrial respiratory chain complex I assembly [GO:0032981]; mitochondrial respiratory chain complex III assembly [GO:0034551]; protein insertion into mitochondrial inner membrane from matrix [GO:0032979]"
"73","A4IG53","COMTB_DANRE","comtb","Catechol O-methyltransferase B (EC 2.1.1.6)","extracellular region [GO:0005576]; catechol O-methyltransferase activity [GO:0016206]; L-dopa O-methyltransferase activity [GO:0102084]; magnesium ion binding [GO:0000287]; O-methyltransferase activity [GO:0008171]; orcinol O-methyltransferase activity [GO:0102938]; catecholamine catabolic process [GO:0042424]; developmental process [GO:0032502]; dopamine metabolic process [GO:0042417]; methylation [GO:0032259]; neurotransmitter catabolic process [GO:0042135]"
"74","Q8NI36","WDR36_HUMAN","WDR36","WD repeat-containing protein 36 (T-cell activation WD repeat-containing protein) (TA-WDRP)","nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; Pwp2p-containing subcomplex of 90S preribosome [GO:0034388]; small-subunit processome [GO:0032040]; RNA binding [GO:0003723]; regulation of axon extension [GO:0030516]; response to stimulus [GO:0050896]; retina homeostasis [GO:0001895]; rRNA processing [GO:0006364]; visual perception [GO:0007601]"
"75","P39665","SPHX_SYNE7","sphX Synpcc7942_2445","Protein SphX","plasma membrane [GO:0005886]; phosphate ion binding [GO:0042301]"
"76","F4KIB2","TMN8_ARATH","TMN8 EMP1 At5g10840 T30N20_110","Transmembrane 9 superfamily member 8 (Endomembrane protein 1) (Transmembrane nine protein 8) (AtTMN8)","endosome [GO:0005768]; endosome membrane [GO:0010008]; Golgi apparatus [GO:0005794]; Golgi medial cisterna [GO:0005797]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; plant-type cell wall [GO:0009505]; trans-Golgi network [GO:0005802]; vacuolar membrane [GO:0005774]; protein localization to membrane [GO:0072657]"
"77","Q9P2E3","ZNFX1_HUMAN","ZNFX1 KIAA1404","NFX1-type zinc finger-containing protein 1","nuclear chromatin [GO:0000790]; nuclear RNA-directed RNA polymerase complex [GO:0031380]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA binding [GO:0003723]; zinc ion binding [GO:0008270]; heterochromatin assembly by small RNA [GO:0031048]; pericentric heterochromatin assembly [GO:0031508]"
"78","Q8BG09","T184B_MOUSE","Tmem184b","Transmembrane protein 184B","integral component of membrane [GO:0016021]"
"79","Q6PGS5","TLC4B_XENLA","tlcd4-b tmem56-b","TLC domain-containing protein 4-B (Transmembrane protein 56-B)","integral component of membrane [GO:0016021]"
"80","O24308","TOP2_PEA","TOP2 TOPII","DNA topoisomerase 2 (EC 5.6.2.2) (DNA topoisomerase II) (PsTopII)","ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity [GO:0003918]; metal ion binding [GO:0046872]; DNA topological change [GO:0006265]"
"81","Q9KQH0","RLUC_VIBCH","rluC VC_2028","Ribosomal large subunit pseudouridine synthase C (EC 5.4.99.24) (23S rRNA pseudouridine(955/2504/2580) synthase) (rRNA pseudouridylate synthase C) (rRNA-uridine isomerase C)","pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; rRNA pseudouridine synthase activity [GO:0120159]; enzyme-directed rRNA pseudouridine synthesis [GO:0000455]; rRNA modification [GO:0000154]"
"82","Q52KZ7","SBP1A_XENLA","selenbp1-a","Methanethiol oxidase (MTO) (EC 1.8.3.4) (Selenium-binding protein 1-A)","cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; methanethiol oxidase activity [GO:0018549]; selenium binding [GO:0008430]; protein transport [GO:0015031]"
"83","Q29RU9","SOX_BOVIN","PIPOX","Peroxisomal sarcosine oxidase (PSO) (EC 1.5.3.1) (EC 1.5.3.7) (L-pipecolate oxidase) (L-pipecolic acid oxidase)","peroxisome [GO:0005777]; L-pipecolate oxidase activity [GO:0050031]; sarcosine oxidase activity [GO:0008115]; L-lysine catabolic process to acetyl-CoA via L-pipecolate [GO:0033514]; tetrahydrofolate metabolic process [GO:0046653]"
"84","Q9M076","PFKA6_ARATH","PFK6 At4g32840 T16I18.50","ATP-dependent 6-phosphofructokinase 6 (ATP-PFK 6) (Phosphofructokinase 6) (EC 2.7.1.11) (Phosphohexokinase 6)","cytoplasm [GO:0005737]; cytosol [GO:0005829]; 6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; fructose 6-phosphate metabolic process [GO:0006002]; glycolytic process [GO:0006096]"
"85","A0A1B4XBG9","SDND_SORAA","sdnD","Methyltransferase sdnD (EC 2.1.1.-) (Sordarin/hypoxysordarin biosynthesis cluster protein D)","methyltransferase activity [GO:0008168]; antibiotic biosynthetic process [GO:0017000]; methylation [GO:0032259]"
"86","A0PJX2","TLDC2_HUMAN","TLDC2","TLD domain-containing protein 2 (TBC/LysM-associated domain-containing protein 2)","nucleolus [GO:0005730]; nucleus [GO:0005634]; negative regulation of oxidative stress-induced neuron death [GO:1903204]; response to oxidative stress [GO:0006979]"
"87","Q9FZE1","UGDH1_ARATH","UGD1 UGD4 At1g26570 T1K7.6","UDP-glucose 6-dehydrogenase 1 (UDP-Glc dehydrogenase 1) (UDP-GlcDH 1) (UDPGDH 1) (EC 1.1.1.22) (At-UGD1)","cytosol [GO:0005829]; nucleus [GO:0005634]; NAD binding [GO:0051287]; UDP-glucose 6-dehydrogenase activity [GO:0003979]; glycosaminoglycan biosynthetic process [GO:0006024]; UDP-glucuronate biosynthetic process [GO:0006065]"
"88","Q9SCQ2","UPL7_ARATH","UPL7 At3g53090 T4D2.20","E3 ubiquitin-protein ligase UPL7 (Ubiquitin-protein ligase 7) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL7)","ubiquitin conjugating enzyme activity [GO:0061631]; protein polyubiquitination [GO:0000209]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"89","B6SHG7","TRMB_MAIZE","","tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)","nucleus [GO:0005634]; tRNA methyltransferase complex [GO:0043527]; tRNA (guanine-N7-)-methyltransferase activity [GO:0008176]; tRNA binding [GO:0000049]; RNA (guanine-N7)-methylation [GO:0036265]; tRNA methylation [GO:0030488]"
"90","Q9P225","DYH2_HUMAN","DNAH2 DNAHC2 DNHD3 KIAA1503","Dynein heavy chain 2, axonemal (Axonemal beta dynein heavy chain 2) (Ciliary dynein heavy chain 2) (Dynein heavy chain domain-containing protein 3)","axonemal dynein complex [GO:0005858]; axoneme [GO:0005930]; dynein complex [GO:0030286]; microtubule [GO:0005874]; motile cilium [GO:0031514]; sperm flagellum [GO:0036126]; ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, minus-end-directed [GO:0008569]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; microtubule motor activity [GO:0003777]; cilium-dependent cell motility [GO:0060285]; microtubule-based movement [GO:0007018]"
"91","Q7Z4T9","CFA91_HUMAN","CFAP91 AAT1 C3orf15 MAATS1","Cilia- and flagella-associated protein 91 (CFAP91) (AMY-1-associating protein expressed in testis 1) (AAT-1) (MYCBP/AMY-1-associated testis-expressed protein 1) (Protein MAATS1)","axoneme [GO:0005930]; mitochondrion [GO:0005739]; motile cilium [GO:0031514]; cilium movement [GO:0003341]"
"92","Q3UIR3","DTX3L_MOUSE","Dtx3l Bbap","E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L)","cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome membrane [GO:0031901]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; enzyme activator activity [GO:0008047]; enzyme binding [GO:0019899]; enzyme inhibitor activity [GO:0004857]; histone binding [GO:0042393]; metal ion binding [GO:0046872]; STAT family protein binding [GO:0097677]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-like protein ligase binding [GO:0044389]; ubiquitin-protein transferase activity [GO:0004842]; cellular response to DNA damage stimulus [GO:0006974]; defense response to virus [GO:0051607]; double-strand break repair [GO:0006302]; endosome to lysosome transport [GO:0008333]; histone H2A ubiquitination [GO:0033522]; histone H2B ubiquitination [GO:0033523]; histone monoubiquitination [GO:0010390]; innate immune response [GO:0045087]; negative regulation of ubiquitin-protein transferase activity [GO:0051444]; Notch signaling pathway [GO:0007219]; positive regulation of chromatin binding [GO:0035563]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of NAD+ ADP-ribosyltransferase activity [GO:1901666]; positive regulation of protein binding [GO:0032092]; positive regulation of protein localization to early endosome [GO:1902966]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of receptor catabolic process [GO:2000646]; positive regulation of transcription, DNA-templated [GO:0045893]; protein autoubiquitination [GO:0051865]; protein K48-linked ubiquitination [GO:0070936]; protein transport [GO:0015031]; protein ubiquitination [GO:0016567]; ubiquitin-dependent protein catabolic process [GO:0006511]"
"93","Q9VKV8","CFA20_DROME","Bug22 CFAP20 CG5343","Cilia- and flagella-associated protein 20 (Basal body up-regulated protein 22)","catalytic step 2 spliceosome [GO:0071013]; centriole [GO:0005814]; ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; motile cilium [GO:0031514]; nucleolus [GO:0005730]; nucleus [GO:0005634]; precatalytic spliceosome [GO:0071011]; sperm flagellum [GO:0036126]; cilium assembly [GO:0060271]; cilium organization [GO:0044782]; locomotion [GO:0040011]; mRNA splicing, via spliceosome [GO:0000398]; positive regulation of cell motility [GO:2000147]; positive regulation of flagellated sperm motility [GO:1902093]; protein polyglycylation [GO:0018094]; regulation of cilium beat frequency involved in ciliary motility [GO:0060296]; sperm axoneme assembly [GO:0007288]; sperm individualization [GO:0007291]"
"94","P43510","CPR6_CAEEL","cpr-6 C25B8.3","Cathepsin B-like cysteine proteinase 6 (EC 3.4.22.-) (Cysteine protease-related 6)","extracellular space [GO:0005615]; lysosome [GO:0005764]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis involved in cellular protein catabolic process [GO:0051603]"
"95","P24203","YJIA_ECOLI","yjiA b4352 JW5790","P-loop guanosine triphosphatase YjiA (EC 3.6.-.-) (GTP-binding protein YjiA)","cytoplasm [GO:0005737]; cytosol [GO:0005829]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; transition metal ion binding [GO:0046914]; cellular response to DNA damage stimulus [GO:0006974]"
"96","Q87JZ5","Y4103_VIBPA","VPA0103","Macro domain-containing protein VPA0103",""
"97","Q9P7Q1","DDH2_SCHPO","SPAC186.02c","2-hydroxyacid dehydrogenase homolog 2 (EC 1.1.1.-)","cytosol [GO:0005829]; nucleus [GO:0005634]; NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]"
"98","Q17JQ7","CTL1L_AEDAE","Ctl1 AAEL001935","Choline transporter-like 1","integral component of membrane [GO:0016021]"
"99","P28774","AT1B_ARTSF","","Sodium/potassium-transporting ATPase subunit alpha-B (Na(+)/K(+) ATPase alpha-B subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-B)","integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; sodium:potassium-exchanging ATPase activity [GO:0005391]"
"100","P14832","CYPH_YEAST","CPR1 CPH1 CYP1 SCC1 YDR155C YD8358.10C","Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase)","cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; Set3 complex [GO:0034967]; cyclosporin A binding [GO:0016018]; mRNA binding [GO:0003729]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; ascospore formation [GO:0030437]; cellular protein metabolic process [GO:0044267]; histone deacetylation [GO:0016575]; positive regulation of meiotic nuclear division [GO:0045836]; protein folding [GO:0006457]; protein peptidyl-prolyl isomerization [GO:0000413]; protein transport [GO:0015031]"
