Entry,A,B,C,D,Total
P27163,0,1,0,0,1
P27164,0,1,1,1,3
P27165,0,1,1,1,3
P27166,1,1,1,1,4
P27206,0,0,1,1,2
P27237,1,1,1,1,4
P27319,1,0,0,0,1
P27322,0,0,0,1,1
P27323,0,0,0,1,1
P27350,0,0,1,1,2
P27361,1,1,0,0,2
P27398,1,1,1,1,4
P27420,1,0,0,0,1
P27448,1,0,1,0,2
P27450,0,0,1,0,1
P27456,1,1,1,1,4
P27466,0,0,1,1,2
P27482,1,0,1,0,2
P27484,1,0,1,1,3
P27514,1,1,1,1,4
P27521,0,1,1,1,3
P27524,0,0,1,0,1
P27525,1,1,1,0,3
P27526,1,0,0,0,1
P27636,0,1,0,0,1
P27638,0,1,0,0,1
P27643,1,1,1,1,4
P27659,0,1,1,0,2
P27678,0,0,1,0,1
P27694,1,1,1,1,4
P27708,0,0,1,0,1
P27725,0,0,1,0,1
P27730,1,1,1,1,4
P27732,1,0,0,0,1
P27766,1,1,1,1,4
P27774,1,0,0,1,2
P27797,1,0,0,0,1
P27798,1,1,1,1,4
P27808,1,1,1,1,4
P27821,1,1,1,1,4
P27823,1,1,0,0,2
P27867,0,0,1,0,1
P27882,0,1,1,1,3
P27884,1,1,1,0,3
P27932,1,1,1,1,4
P27934,1,0,1,1,3
P27968,1,0,0,0,1
P27985,1,0,0,0,1
P28000,0,1,0,0,1
P28023,0,0,1,1,2
P28025,0,0,1,0,1
P28147,0,0,0,1,1
P28148,0,1,0,0,1
P28178,1,1,1,1,4
P28188,0,0,1,0,1
P28189,0,0,0,1,1
P28227,1,1,1,0,3
P28237,0,0,1,0,1
P28246,0,0,1,0,1
P28268,1,1,0,1,3
P28274,0,1,0,0,1
P28287,1,1,0,1,3
P28288,1,1,1,0,3
P28295,0,0,0,1,1
P28297,1,0,0,1,2
P28303,0,0,1,1,2
P28370,1,0,0,0,1
P28472,1,0,0,1,2
P28475,0,1,1,1,3
P28493,1,0,0,0,1
P28523,0,0,0,1,1
P28547,1,0,0,0,1
P28568,1,0,0,0,1
P28573,1,0,0,0,1
P28582,1,0,1,0,2
P28583,0,1,1,0,2
P28584,0,1,1,1,3
P28606,0,1,1,1,3
P28634,1,1,1,0,3
P28644,1,1,1,1,4
P28652,0,0,0,1,1
P28668,0,1,1,0,2
P28712,0,1,1,0,2
P28713,0,0,1,0,1
P28723,0,1,1,1,3
P28734,1,1,1,1,4
P28739,0,0,0,1,1
P28741,1,1,1,1,4
P28745,1,1,1,1,4
P28760,0,1,0,0,1
P28769,0,1,1,0,2
P28774,1,1,1,1,4
P28776,1,0,0,0,1
P28829,1,1,1,0,3
P28835,0,0,1,0,1
P28855,0,1,0,0,1
P28996,1,0,1,0,2
P29068,1,1,1,1,4
P29185,1,1,1,0,3
P29193,0,1,0,0,1
P29197,0,1,0,0,1
P29215,0,1,0,1,2
P29218,0,1,1,1,3
P29219,0,0,1,0,1
P29251,0,0,1,1,2
P29266,0,0,1,0,1
P29273,0,1,0,0,1
P29288,1,1,1,0,3
P29289,1,0,0,0,1
P29294,0,0,1,0,1
P29308,0,0,1,0,1
P29309,0,0,1,0,1
P29311,1,1,1,1,4
P29315,1,0,0,0,1
P29341,1,1,1,1,4
P29344,1,0,1,1,3
P29355,0,0,0,1,1
P29356,1,1,1,0,3
P29363,1,0,1,0,2
P29408,0,0,0,1,1
P29451,1,0,1,0,2
P29458,1,0,0,0,1
P29469,1,0,0,0,1
P29496,0,1,1,0,2
P29504,1,0,0,0,1
P29513,0,0,1,0,1
P29520,1,0,0,0,1
P29522,1,0,0,0,1
P29551,1,1,0,0,2
P29563,0,1,0,0,1
P29610,1,1,1,1,4
P29613,1,0,0,0,1
P29618,1,1,1,1,4
P29619,0,0,1,0,1
P29687,1,0,1,1,3
P29691,0,1,0,1,2
P29694,0,1,1,0,2
P29750,0,0,1,0,1
P29763,0,1,0,1,2
P29764,1,0,0,0,1
P29828,1,0,0,0,1
P29848,1,0,0,0,1
P29906,1,0,0,0,1
P29937,0,1,0,1,2
P29957,1,1,1,1,4
P29974,1,0,0,0,1
P29981,0,0,1,0,1
P29994,1,0,0,0,1
P29995,0,1,0,1,2
P30040,0,0,1,1,2
P30044,1,1,1,1,4
P30153,1,0,0,0,1
P30156,0,0,0,1,1
P30157,1,0,0,0,1
P30161,1,0,0,0,1
P30162,0,1,0,0,1
P30168,1,0,0,0,1
P30176,1,1,1,1,4
P30181,0,1,1,1,3
P30182,1,1,1,1,4
P30187,0,1,0,0,1
P30191,0,1,0,0,1
P30235,0,1,1,1,3
P30260,0,0,1,0,1
P30268,1,1,1,1,4
P30270,0,1,0,1,2
P30284,1,0,0,0,1
P30341,0,0,1,0,1
P30352,1,1,1,0,3
P30366,0,1,0,0,1
P30385,0,0,0,1,1
P30405,1,0,0,0,1
P30416,0,1,1,1,3
P30432,1,0,0,1,2
P30536,1,0,1,1,3
P30568,0,0,0,1,1
P30574,1,0,1,0,2
P30622,0,0,1,0,1
P30625,1,0,1,0,2
P30638,1,1,1,1,4
P30656,1,0,0,0,1
P30665,0,0,1,0,1
P30694,0,0,1,1,2
P30707,0,1,0,0,1
P30708,1,0,0,0,1
P30722,0,1,1,0,2
P30725,0,0,1,0,1
P30741,1,1,0,1,3
P30771,1,1,1,1,4
P30798,0,0,0,1,1
P30839,0,0,1,0,1
P30851,1,0,0,0,1
P30863,1,1,0,0,2
P30924,1,1,1,1,4
P31006,0,0,1,0,1
P31009,0,0,1,1,2
P31018,1,0,0,0,1
P31052,1,0,0,0,1
P31060,1,1,1,1,4
P31072,1,1,1,1,4
P31106,0,0,0,1,1
P31171,1,1,1,1,4
P31178,0,0,1,1,2
P31209,1,1,1,1,4
P31244,1,1,1,1,4
P31251,1,1,0,0,2
P31319,1,0,0,0,1
P31320,0,1,1,1,3
P31321,1,1,1,0,3
P31335,0,1,1,1,3
P31373,0,1,0,0,1
P31380,0,0,1,1,2
P31414,1,1,1,0,3
P31421,1,1,0,1,3
P31422,1,0,0,1,2
P31428,0,0,1,0,1
P31442,0,0,0,1,1
P31448,1,1,1,1,4
P31521,1,0,1,1,3
P31528,0,1,0,0,1
P31539,0,1,0,0,1
P31540,0,1,0,0,1
P31541,1,1,1,0,3
P31542,0,1,1,1,3
P31564,1,0,1,0,2
P31580,1,0,0,0,1
P31584,1,0,0,0,1
P31592,1,1,1,1,4
P31596,1,1,1,1,4
P31646,0,0,1,0,1
P31669,1,0,1,0,2
P31674,1,1,1,1,4
P31689,0,0,0,1,1
P31692,1,1,1,1,4
P31695,1,0,0,0,1
P31777,1,0,1,1,3
P31787,0,1,1,0,2
P31797,0,0,1,0,1
P31808,0,0,0,1,1
P31826,1,1,1,1,4
P31851,1,1,1,1,4
P31937,0,0,1,0,1
P31942,1,0,0,0,1
P31957,0,1,0,0,1
P32019,1,1,1,1,4
P32023,1,1,1,1,4
P32111,1,0,0,0,1
P32113,1,0,0,0,1
P32140,1,0,0,0,1
P32143,0,1,1,1,3
P32232,0,1,1,1,3
P32321,0,1,1,0,2
P32331,1,1,1,1,4
P32332,0,1,1,1,3
P32340,1,0,0,0,1
P32361,0,0,1,0,1
P32381,0,1,1,1,3
P32392,1,0,1,0,2
P32393,0,1,0,1,2
P32418,1,0,1,1,3
P32429,1,0,0,0,1
P32437,0,1,1,1,3
P32447,1,0,0,0,1
P32456,1,0,0,0,1
P32466,1,0,0,0,1
P32472,0,1,0,0,1
P32481,0,1,0,0,1
P32482,1,0,0,1,2
P32486,1,1,0,1,3
P32518,0,1,1,0,2
P32529,0,1,0,1,2
P32562,0,0,0,1,1
P32563,0,1,0,0,1
P32579,1,0,0,0,1
P32598,1,1,1,1,4
P32603,0,0,1,0,1
P32614,1,0,1,0,2
P32621,0,1,0,0,1
P32636,0,0,0,1,1
P32646,0,1,0,0,1
P32656,0,0,1,1,2
P32748,0,0,1,1,2
P32749,0,0,1,0,1
P32811,0,1,1,0,2
P32826,0,1,1,0,2
P32839,1,1,1,1,4
P32847,1,0,1,0,2
P32849,0,0,1,0,1
P32861,1,1,1,1,4
P32874,1,1,0,0,2
P33022,0,1,0,0,1
P33029,0,0,1,0,1
P33116,1,1,1,1,4
P33121,1,0,0,0,1
P33124,1,0,0,0,1
P33160,1,1,1,1,4
P33174,0,0,1,0,1
P33175,1,1,0,0,2
P33176,0,0,1,0,1
P33188,1,1,0,1,3
P33189,1,0,0,1,2
P33197,0,0,0,1,1
P33224,1,1,1,1,4
P33292,0,1,0,1,2
P33296,0,1,1,1,3
P33300,1,0,0,1,2
P33303,0,1,1,1,3
P33313,1,0,0,0,1
P33315,1,0,0,0,1
P33322,0,0,1,0,1
P33324,1,1,1,1,4
P33327,1,0,0,0,1
P33328,0,1,1,1,3
P33363,0,1,1,1,3
P33417,0,0,1,0,1
P33497,0,0,1,0,1
P33527,1,1,1,0,3
P33550,0,1,1,0,2
P33590,1,1,1,1,4
P33610,1,1,1,1,4
P33611,0,0,1,0,1
P33623,1,0,0,0,1
P33625,1,0,0,1,2
P33632,0,0,0,1,1
P33640,0,0,0,1,1
P33723,1,0,0,0,1
P33727,1,1,0,1,3
P33731,1,1,1,1,4
P33734,0,0,1,1,2
P33742,1,0,0,0,1
P33753,0,0,1,0,1
P33892,0,0,1,0,1
P33897,1,0,1,0,2
P33947,0,1,0,0,1
P33948,1,1,1,1,4
P33991,0,1,0,0,1
P33992,0,1,0,0,1
P33993,0,0,1,0,1
P34022,0,1,1,0,2
P34024,1,1,1,1,4
P34036,1,1,1,1,4
P34059,1,0,0,0,1
P34081,0,1,0,1,2
P34091,1,0,1,1,3
P34099,1,1,1,0,3
P34101,1,1,1,1,4
P34102,1,0,0,0,1
P34114,1,0,1,0,2
P34117,0,1,1,0,2
P34120,1,1,1,1,4
P34124,1,0,0,0,1
P34127,0,1,0,0,1
P34140,1,0,1,1,3
P34142,0,0,1,0,1
P34205,1,1,1,1,4
P34213,1,0,1,1,3
P34243,0,0,1,0,1
P34280,1,1,0,0,2
P34284,0,0,1,1,2
P34308,0,1,1,0,2
P34313,1,0,1,0,2
P34319,0,1,0,0,1
P34329,1,1,1,1,4
P34331,0,1,0,0,1
P34369,0,0,1,0,1
P34371,1,1,0,1,3
P34422,1,0,1,0,2
P34436,0,1,0,0,1
P34477,1,0,1,1,3
P34498,1,0,0,0,1
P34519,1,0,0,0,1
P34528,0,1,1,0,2
P34529,0,0,0,1,1
P34534,1,0,0,0,1
P34548,0,0,1,1,2
P34556,0,0,0,1,1
P34569,0,1,1,1,3
P34579,0,1,0,0,1
P34624,1,1,1,1,4
P34673,1,0,0,0,1
P34678,0,1,1,0,2
P34697,0,1,0,0,1
P34703,1,1,0,0,2
P34712,1,0,1,1,3
P34713,1,0,0,0,1
P34723,0,1,1,0,2
P34730,1,1,0,1,3
P34734,1,0,0,0,1
P34790,0,0,0,1,1
P34791,1,1,1,1,4
P34795,1,0,1,0,2
P34796,1,0,0,0,1
P34797,0,0,1,0,1
P34823,0,1,0,0,1
P34877,0,0,1,1,2
P34887,0,0,0,1,1
P34893,0,1,1,0,2
P34899,1,1,1,1,4
P34913,1,1,0,0,2
P34923,0,0,1,0,1
P34934,1,0,0,0,1
P34949,1,0,0,0,1
P35007,1,1,1,1,4
P35041,1,0,0,0,1
P35055,0,0,1,0,1
P35063,0,1,0,0,1
P35074,1,0,0,0,1
P35084,1,1,1,1,4
P35100,1,1,1,0,3
P35122,0,0,1,1,2
P35123,0,1,1,1,3
P35125,0,0,1,0,1
P35129,1,1,1,1,4
P35130,1,0,0,1,2
P35131,0,1,0,0,1
P35132,0,0,1,0,1
P35134,0,1,1,1,3
P35135,0,1,0,0,1
P35159,0,1,1,1,3
P35182,1,1,1,1,4
P35187,1,1,1,0,3
P35197,1,1,0,0,2
P35207,0,0,1,1,2
P35217,1,1,0,1,3
P35251,1,0,0,0,1
P35282,0,0,1,1,2
P35286,0,0,0,1,1
P35288,1,0,0,0,1
P35317,1,1,1,1,4
P35320,0,0,0,1,1
P35349,0,0,1,0,1
P35421,0,0,1,0,1
P35432,1,0,0,0,1
P35440,0,1,0,0,1
P35446,1,1,1,1,4
P35447,1,1,1,1,4
P35450,0,1,0,0,1
P35458,0,1,0,0,1
P35478,0,1,0,0,1
P35500,1,1,1,1,4
P35501,0,0,1,1,2
P35559,1,1,1,1,4
P35567,1,0,0,0,1
P35600,1,1,1,1,4
P35601,0,1,1,0,2
P35604,1,0,1,1,3
P35611,1,0,0,0,1
P35627,1,0,1,1,3
P35668,0,0,1,1,2
P35669,0,0,1,0,1
P35684,1,1,0,0,2
P35813,0,1,0,0,1
P35815,1,1,1,0,3
P35821,0,0,1,0,1
P35839,1,0,1,0,2
P35858,1,0,0,0,1
P35859,0,0,1,0,1
P35875,1,0,0,1,2
P35912,1,0,0,0,1
P35978,0,0,1,1,2
P35979,1,1,0,1,3
P36021,1,0,0,0,1
P36062,1,1,1,1,4
P36070,1,0,0,0,1
P36101,0,1,0,0,1
P36113,1,0,0,0,1
P36151,0,0,0,1,1
P36179,0,0,1,0,1
P36182,1,0,0,0,1
P36183,1,0,0,0,1
P36209,1,1,1,1,4
P36216,0,0,1,0,1
P36221,0,0,0,1,1
P36222,0,1,0,0,1
P36241,0,1,1,0,2
P36362,0,1,0,0,1
P36372,1,0,0,0,1
P36397,1,0,0,0,1
P36404,1,1,1,1,4
P36405,0,0,1,1,2
P36409,1,0,0,0,1
P36415,1,0,0,0,1
P36423,0,0,1,0,1
P36428,1,1,1,1,4
P36505,1,0,0,0,1
P36512,0,0,0,1,1
P36513,0,1,0,0,1
P36514,0,1,0,0,1
P36526,0,1,0,1,2
P36537,1,0,0,0,1
P36551,0,1,0,0,1
P36552,1,0,0,0,1
P36568,0,1,0,0,1
P36579,0,0,1,1,2
P36587,1,0,0,0,1
P36590,0,1,0,0,1
P36595,0,0,0,1,1
P36601,1,0,0,0,1
P36602,0,0,1,1,2
P36604,1,0,0,0,1
P36614,0,1,0,0,1
P36616,0,0,1,1,2
P36619,0,1,0,0,1
P36620,0,0,1,0,1
P36639,1,0,0,0,1
P36649,0,0,0,1,1
P36683,1,1,0,0,2
P36774,1,1,1,1,4
P36776,1,1,1,1,4
P36841,1,1,1,1,4
P36861,1,0,0,1,2
P36863,1,1,0,1,3
P36873,1,1,0,0,2
P36914,1,1,1,1,4
P36915,0,1,0,1,2
P36916,0,0,1,1,2
P36929,1,0,0,0,1
P36945,0,1,0,0,1
P36982,1,1,1,1,4
P36993,0,1,1,1,3
P37024,1,1,1,1,4
P37039,1,0,0,0,1
P37040,0,0,1,0,1
P37101,1,1,0,0,2
P37116,1,0,0,0,1
P37122,0,0,1,0,1
P37142,0,1,0,0,1
P37164,1,1,0,0,2
P37167,1,0,0,0,1
P37276,0,1,0,0,1
P37278,0,0,1,0,1
P37279,0,0,1,1,2
P37285,1,0,1,1,3
P37294,1,0,0,0,1
P37366,1,0,1,1,3
P37367,0,1,0,0,1
P37384,1,1,1,1,4
P37472,1,0,0,0,1
P37518,1,1,1,1,4
P37543,0,0,0,1,1
P37545,1,0,1,1,3
P37556,1,0,0,1,2
P37560,0,1,1,1,3
P37571,0,0,1,1,2
P37586,0,1,1,0,2
P37597,1,1,0,1,3
P37610,1,1,1,1,4
P37631,0,1,1,1,3
P37634,1,1,0,0,2
P37686,1,1,1,1,4
P37693,1,1,1,1,4
P37694,1,0,1,1,3
P37747,1,0,1,0,2
P37832,1,0,0,0,1
P37879,0,0,1,1,2
P37890,0,1,0,0,1
P37891,1,0,1,1,3
P37900,0,0,1,1,2
P37913,0,1,0,0,1
P37959,0,1,0,1,2
P37967,1,1,1,1,4
P38016,1,1,1,0,3
P38051,1,0,0,0,1
P38080,1,0,1,1,3
P38088,1,0,0,0,1
P38100,0,1,0,0,1
P38115,0,0,0,1,1
P38116,0,1,0,0,1
P38129,1,0,0,1,2
P38130,1,1,1,1,4
P38147,0,0,0,1,1
P38149,1,1,1,1,4
P38160,1,0,0,0,1
P38166,0,1,1,0,2
P38169,0,1,0,1,2
P38176,0,1,0,1,2
P38191,1,0,0,0,1
P38205,1,1,1,1,4
P38230,0,0,0,1,1
P38254,0,1,0,0,1
P38287,1,1,1,0,3
P38295,1,1,0,0,2
P38310,1,0,1,0,2
P38328,1,0,0,0,1
P38344,0,0,1,0,1
P38355,0,0,0,1,1
P38359,0,0,1,0,1
P38379,1,0,0,0,1
P38420,1,1,1,1,4
P38433,1,0,0,0,1
P38448,0,1,0,0,1
P38482,0,1,1,0,2
P38494,1,1,1,1,4
P38523,1,1,0,0,2
P38542,0,0,1,1,2
P38545,1,1,1,1,4
P38555,1,1,1,1,4
P38605,1,0,0,0,1
P38631,1,1,1,0,3
P38650,1,0,1,0,2
P38657,0,1,1,1,3
P38658,1,0,0,0,1
P38659,0,0,1,0,1
P38660,0,1,0,0,1
P38661,1,1,1,0,3
P38679,0,0,1,0,1
P38680,1,1,1,1,4
P38681,1,0,0,0,1
P38690,1,0,0,0,1
P38708,1,0,0,0,1
P38716,1,1,1,0,3
P38748,0,0,0,1,1
P38758,0,0,1,0,1
P38795,0,1,0,0,1
P38861,0,1,1,0,2
P38862,0,1,0,0,1
P38921,1,1,1,0,3
P38922,1,0,0,0,1
P38935,1,1,1,0,3
P38942,0,1,1,1,3
P38991,0,0,1,0,1
P38994,1,1,1,1,4
P38999,1,0,0,0,1
P39007,1,1,1,0,3
P39023,0,1,0,0,1
P39057,1,1,1,1,4
P39069,0,0,1,1,2
P39101,1,1,1,1,4
P39104,0,0,1,0,1
P39109,1,0,1,0,2
P39115,1,0,0,0,1
P39332,1,0,0,0,1
P39352,0,0,1,1,2
P39368,1,1,0,0,2
P39398,1,0,0,0,1
P39515,1,0,0,0,1
P39524,1,1,1,1,4
P39535,0,1,0,0,1
P39574,1,0,0,0,1
P39640,1,1,1,1,4
P39652,1,0,0,0,1
P39665,1,1,1,1,4
P39671,0,1,0,0,1
P39675,0,0,0,1,1
P39692,1,1,1,1,4
P39694,1,0,0,0,1
P39721,0,0,0,1,1
P39724,1,1,0,1,3
P39823,1,1,0,0,2
P39843,0,1,1,1,3
P39845,1,0,0,0,1
P39846,0,0,1,0,1
P39847,1,0,0,1,2
P39858,0,1,1,0,2
P39864,1,1,1,1,4
P39865,1,0,0,0,1
P39868,1,1,0,0,2
P39869,0,0,1,0,1
P39872,1,0,0,1,2
P39896,1,0,1,1,3
P39898,0,1,0,0,1
P39916,0,0,1,1,2
P39951,1,0,1,1,3
P39981,1,1,1,0,3
P39986,1,0,1,0,2
P40032,0,1,0,0,1
P40035,0,1,0,1,2
P40055,1,0,0,0,1
P40066,0,1,0,0,1
P40074,1,1,0,0,2
P40098,0,0,0,1,1
P40108,1,0,0,0,1
P40118,0,0,1,1,2
P40124,0,0,1,1,2
P40137,1,0,1,0,2
P40138,0,0,1,0,1
P40170,0,0,1,0,1
P40197,0,0,0,1,1
P40222,0,1,1,1,3
P40228,1,1,1,1,4
P40229,0,1,0,0,1
P40231,1,0,0,0,1
P40233,0,0,1,0,1
P40235,1,0,0,0,1
P40282,0,0,1,0,1
P40292,0,0,1,0,1
P40318,1,0,1,0,2
P40358,1,1,1,0,3
P40371,0,1,1,1,3
P40377,0,1,1,0,2
P40383,0,0,1,1,2
P40387,0,1,0,0,1
P40392,1,1,0,0,2
P40421,1,1,1,1,4
P40480,0,0,0,1,1
P40494,0,1,1,0,2
P40501,1,1,1,1,4
P40513,1,0,1,1,3
P40514,0,0,1,0,1
P40525,1,1,1,1,4
P40557,0,1,1,0,2
P40561,1,0,0,0,1
P40564,1,1,1,1,4
P40586,0,0,1,0,1
P40618,1,0,0,0,1
P40644,0,0,0,1,1
P40655,1,0,0,0,1
P40677,0,0,0,1,1
P40690,0,0,1,1,2
P40692,0,1,1,1,3
P40761,1,1,1,1,4
P40782,0,1,0,0,1
P40792,0,0,1,1,2
P40796,1,1,1,1,4
P40798,1,0,0,0,1
P40806,1,1,1,1,4
P40817,0,1,0,1,2
P40818,0,1,1,0,2
P40854,0,1,1,0,2
P40859,1,0,0,0,1
P40862,1,1,1,1,4
P40872,0,0,1,0,1
P40882,1,0,1,1,3
P40893,1,1,1,1,4
P40896,1,1,1,1,4
P40926,0,0,1,0,1
P40927,0,0,1,1,2
P40937,1,1,1,1,4
P40938,0,1,1,1,3
P40974,1,0,0,0,1
P40978,0,1,1,0,2
P40984,1,0,0,1,2
P40989,1,1,1,1,4
P40999,1,0,1,1,3
P41001,1,1,1,1,4
P41003,0,0,1,0,1
P41041,1,1,1,1,4
P41042,1,1,0,0,2
P41043,1,0,1,1,3
P41091,0,1,0,0,1
P41105,0,1,0,1,2
P41127,0,1,0,0,1
P41128,1,1,0,0,2
P41129,0,1,1,1,3
P41150,0,1,1,1,3
P41179,1,0,1,1,3
P41181,0,0,1,0,1
P41189,0,1,1,1,3
P41203,1,0,0,1,2
P41208,1,0,0,0,1
P41210,1,0,1,0,2
P41233,1,0,0,0,1
P41234,1,1,0,1,3
P41240,1,0,0,0,1
P41247,0,0,1,0,1
P41252,0,0,1,0,1
P41348,0,0,0,1,1
P41351,1,1,1,0,3
P41352,1,1,0,1,3
P41363,0,1,1,0,2
P41366,0,1,1,1,3
P41380,0,1,1,0,2
P41387,1,0,0,0,1
P41389,1,0,0,0,1
P41410,0,0,1,1,2
P41413,1,1,1,1,4
P41439,0,0,1,0,1
P41447,0,1,0,0,1
P41515,1,0,0,0,1
P41561,1,1,1,0,3
P41624,1,0,0,0,1
P41637,0,0,1,0,1
P41713,0,1,0,0,1
P41753,1,1,1,1,4
P41759,1,1,0,1,3
P41764,1,1,1,1,4
P41798,1,0,0,0,1
P41838,0,0,0,1,1
P41879,1,0,1,1,3
P41891,0,1,0,0,1
P41924,0,1,0,0,1
P41925,1,0,0,0,1
P41932,0,0,1,0,1
P41938,1,0,0,0,1
P41992,1,0,0,0,1
P42023,1,0,0,0,1
P42042,1,1,1,1,4
P42058,1,0,1,1,3
P42059,0,0,1,0,1
P42108,1,0,0,0,1
P42111,0,1,0,0,1
P42125,1,0,0,0,1
P42126,0,0,1,1,2
P42158,0,1,1,1,3
P42196,0,1,1,1,3
P42197,1,1,1,0,3
P42210,0,0,1,0,1
P42211,1,0,0,0,1
P42237,0,1,0,0,1
P42253,0,0,0,1,1
P42285,1,1,1,1,4
P42305,0,1,0,0,1
P42316,1,0,0,0,1
P42322,1,1,1,1,4
P42347,0,1,1,1,3
P42348,0,0,1,0,1
P42378,0,1,0,0,1
P42407,0,0,1,0,1
P42497,1,0,1,0,2
P42519,0,1,0,0,1
P42521,1,0,0,0,1
P42524,0,0,1,0,1
P42525,1,1,1,1,4
P42527,0,0,1,0,1
P42566,1,0,0,1,2
P42567,0,1,0,0,1
P42577,1,1,1,0,3
P42592,1,1,0,1,3
P42604,0,0,1,0,1
P42620,1,1,1,0,3
P42630,0,0,0,1,1
P42643,0,1,0,0,1
P42644,0,1,1,0,2
P42649,0,0,1,1,2
P42650,1,0,1,0,2
P42656,0,1,0,0,1
P42661,1,0,0,0,1
P42665,1,0,0,0,1
P42674,0,0,0,1,1
P42686,0,0,0,1,1
P42689,0,1,0,0,1
P42693,1,1,1,1,4
P42696,1,1,1,1,4
P42697,1,0,0,0,1
P42712,0,1,0,1,2
P42720,1,1,1,1,4
P42730,1,1,1,0,3
P42731,1,0,1,1,3
P42766,1,1,0,1,3
P42773,0,0,0,1,1
P42784,0,1,1,1,3
P42788,0,0,1,0,1
P42789,1,1,0,0,2
P42791,1,1,0,0,2
P42799,1,1,0,0,2
P42818,1,0,0,0,1
P42824,1,1,1,1,4
P42825,1,1,1,1,4
P42840,0,1,1,1,3
P42856,0,1,1,1,3
P42867,0,1,1,1,3
P42894,0,0,0,1,1
P42942,1,1,1,1,4
P43003,0,1,0,0,1
P43004,1,0,0,0,1
P43006,1,0,0,0,1
P43010,1,1,0,0,2
P43063,1,0,1,1,3
P43080,1,0,0,0,1
P43101,0,0,0,1,1
P43123,0,0,0,1,1
P43156,1,1,1,0,3
P43157,1,0,1,1,3
P43159,1,0,1,1,3
P43188,0,0,1,1,2
P43242,0,0,1,0,1
P43245,1,0,0,1,2
P43255,0,1,1,1,3
P43270,0,1,0,0,1
P43296,1,1,0,1,3
P43297,0,1,1,1,3
P43298,1,0,0,0,1
P43299,1,1,0,0,2
P43317,0,0,1,1,2
P43329,0,0,1,0,1
P43333,1,1,1,1,4
P43353,1,0,0,0,1
P43368,0,0,1,0,1
P43378,1,0,0,0,1
P43379,0,1,1,1,3
P43386,0,0,1,0,1
P43388,1,1,1,1,4
P43394,0,1,1,1,3
P43395,0,0,1,0,1
P43420,0,0,0,1,1
P43450,1,0,0,0,1
P43487,1,0,0,0,1
P43490,1,1,1,0,3
P43507,0,0,0,1,1
P43509,1,1,0,0,2
P43510,1,1,1,1,4
P43524,1,1,1,1,4
P43535,1,0,0,0,1
P43549,0,1,0,0,1
P43565,1,0,0,0,1
P43567,1,0,0,0,1
P43645,1,1,1,1,4
P43646,1,0,1,0,2
P43672,0,1,0,0,1
P43783,1,1,1,1,4
P43842,1,0,0,0,1
P43860,1,1,1,1,4
P43976,0,0,1,1,2
P44074,1,0,0,0,1
P44094,1,1,1,1,4
P44121,1,1,1,1,4
P44263,1,0,0,0,1
P44318,1,0,0,0,1
P44331,0,0,0,1,1
P44426,0,0,1,1,2
P44429,1,1,1,1,4
P44433,0,1,1,1,3
P44442,0,0,0,1,1
P44445,0,0,0,1,1
P44480,0,0,1,0,1
P44499,0,1,0,0,1
P44501,0,0,1,0,1
P44569,0,0,0,1,1
P44573,0,1,1,0,2
P44589,0,0,1,0,1
P44659,0,0,1,1,2
P44681,0,1,1,1,3
P44694,0,1,1,1,3
P44718,1,0,0,0,1
P44740,0,0,1,0,1
P44782,0,0,0,1,1
P44865,1,0,0,0,1
P44910,0,1,1,0,2
P45078,1,0,0,0,1
P45081,1,0,0,0,1
P45124,0,0,1,0,1
P45127,1,0,1,0,2
P45148,0,0,0,1,1
P45192,1,1,1,1,4
P45250,0,1,0,0,1
P45295,1,1,1,1,4
P45315,1,1,0,0,2
P45335,0,1,0,0,1
P45350,1,0,0,0,1
P45369,1,1,1,0,3
P45443,0,1,0,0,1
P45444,0,0,0,1,1
P45456,0,1,0,1,2
P45479,0,0,1,0,1
P45510,1,1,1,1,4
P45520,0,0,0,1,1
P45521,1,0,0,0,1
P45524,1,0,1,0,2
P45598,1,0,0,0,1
P45623,1,1,1,1,4
P45693,0,0,0,1,1
P45694,0,1,0,0,1
P45700,1,0,0,0,1
P45701,0,0,1,0,1
P45745,1,0,0,0,1
P45798,1,1,1,1,4
P45843,1,0,0,0,1
P45844,0,0,1,1,2
P45856,1,0,1,1,3
P45860,0,1,0,1,2
P45861,0,0,1,1,2
P45862,1,1,1,1,4
P45867,1,0,0,0,1
P45890,0,0,0,1,1
P45894,1,0,1,1,3
P45946,0,1,1,1,3
P45951,1,1,1,1,4
P45954,1,0,0,0,1
P45963,1,1,1,1,4
P45974,1,0,1,0,2
P45982,1,1,1,1,4
P46016,0,1,0,0,1
P46032,1,1,1,1,4
P46087,0,0,1,0,1
P46098,1,0,0,0,1
P46219,0,1,0,0,1
P46239,1,0,0,0,1
P46257,0,0,1,0,1
P46263,1,0,0,0,1
P46273,1,0,0,0,1
P46276,0,0,1,0,1
P46279,0,0,1,1,2
P46284,1,1,1,0,3
P46285,0,1,1,1,3
P46286,1,0,0,0,1
P46293,1,1,1,1,4
P46313,1,1,1,1,4
P46327,0,1,1,1,3
P46331,0,1,0,0,1
P46333,1,0,0,0,1
P46351,1,0,1,1,3
P46409,1,1,0,0,2
P46428,1,0,0,1,2
P46436,1,1,1,1,4
P46437,1,0,0,0,1
P46445,0,1,0,0,1
P46466,1,0,0,0,1
P46471,1,0,0,0,1
